var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
145,20,1017.7284346638386,1024.5886891185587,1032.1861117211843,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0345_iter0000_d001725.csv,0
63,20,1017.7359266720734,1026.5015991934226,1028.0379288825818,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0263_iter0001_d003316.csv,1
196,20,1017.7965391319228,1024.9519773369525,1025.7096351754067,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0396_iter0004_d002984.csv,4
118,20,1017.850580616946,1022.9729872074251,1030.5695884533527,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0318_iter0001_d002591.csv,1
36,20,1017.8614421958127,1025.042020780207,1026.5796708606895,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0236_iter0002_d003182.csv,2
32,20,1017.8728638200603,1025.1014082042625,1027.3493188777695,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0232_iter0000_d001160.csv,0
50,20,1017.9147215513716,1026.4727339687122,1026.5098374100066,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0050_iter0001_d000251.csv,1
57,20,1017.9302324784809,1025.783658957787,1028.8074306694837,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0257_iter0002_d003287.csv,2
135,20,1017.9645027893182,1023.227373039454,1023.3395396667947,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0335_iter0000_d001675.csv,0
190,20,1017.9881796956349,1024.2238063326208,1026.5024099750526,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0390_iter0001_d001951.csv,1
170,20,1017.9895114864461,1025.405863515781,1033.7053034467299,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0370_iter0003_d002853.csv,3
131,20,1018.0076037357683,1025.278915427782,1032.9599256586066,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0331_iter0002_d003657.csv,2
101,20,1018.0351600415112,1029.2036705272355,1033.705549382589,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0301_iter0004_d001509.csv,4
16,20,1018.0939585977125,1026.6033907060423,1028.1108005891338,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0216_iter0000_d001080.csv,0
28,20,1018.1263689275202,1024.9398401970318,1027.2200646171113,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0228_iter0001_d001141.csv,1
169,20,1018.1329440894879,1029.6629271963657,1030.401461939136,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0369_iter0000_d002845.csv,0
3,20,1018.1455015714644,1023.5326191407652,1027.1869692122011,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0203_iter0004_d001019.csv,4
8,20,1018.1484545771713,1025.869614531179,1028.1127797657168,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0208_iter0004_d001044.csv,4
105,20,1018.1498242240359,1025.9701917556674,1032.0474956137525,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0105_iter0002_d000527.csv,2
80,20,1018.1517098265043,1024.9963868526256,1025.6255264288914,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0280_iter0001_d002401.csv,1
26,20,1018.1608894532762,1021.910120559937,1025.708801494601,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0026_iter0001_d000131.csv,1
9,20,1018.16098834823,1026.5394666910984,1028.067993068313,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0209_iter0001_d003046.csv,1
25,20,1018.1633580593012,1025.68197912264,1026.5718417275102,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0225_iter0002_d002127.csv,2
40,20,1018.1810673782062,1023.4894673026208,1027.365931516871,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0240_iter0002_d002202.csv,2
142,20,1018.197611685278,1023.4001648989863,1025.7392512197866,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0142_iter0004_d000714.csv,4
58,20,1018.211056791856,1023.737478415177,1030.5508583319522,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0258_iter0004_d001294.csv,4
113,20,1018.2493081127561,1025.105909248236,1028.0244109943364,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0313_iter0001_d001566.csv,1
104,20,1018.2766528632092,1025.2901493478714,1034.5501159936482,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0304_iter0003_d001523.csv,3
146,20,1018.2828961751344,1026.2863384340583,1039.1909475890247,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0346_iter0002_d002732.csv,2
110,20,1018.2882829240855,1032.2239582684886,1033.6219454630145,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0310_iter0001_d001551.csv,1
183,20,1018.3577652425092,1029.8290716718066,1031.3511660855459,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0383_iter0002_d001917.csv,2
109,20,1018.3666453893038,1024.2244785208557,1026.5259147155548,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0309_iter0003_d001548.csv,3
127,20,1018.3815113422952,1025.1050068215227,1031.172630969979,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0327_iter0000_d003635.csv,0
107,20,1018.3937475581934,1025.0791750935164,1027.3534875601058,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0307_iter0001_d001536.csv,1
62,20,1018.4051717139049,1028.361733720827,1032.9746622002517,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0262_iter0003_d002313.csv,3
21,20,1018.4549753313959,1026.639669691515,1029.6788962349892,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0021_iter0003_d000108.csv,3
53,20,1018.4638822883869,1028.4371315447777,1033.7993195400481,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0253_iter0004_d002269.csv,4
189,20,1018.4823306918004,1025.2772177367995,1032.9646858569772,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0389_iter0002_d001947.csv,2
181,20,1018.4915359765521,1026.9842700340162,1034.536896517994,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0381_iter0003_d001908.csv,3
1,20,1018.54999805928,1023.2002034930038,1023.3411376551184,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0201_iter0000_d001005.csv,0
82,20,1018.5783843712306,1026.4901809425135,1026.5763285066348,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0082_iter0000_d000410.csv,0
75,20,1018.6231901362753,1028.3381036986743,1031.3576230941617,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0275_iter0004_d003379.csv,4
68,20,1018.6550488606206,1024.2163806781923,1025.7390494675583,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0268_iter0003_d001343.csv,3
120,20,1018.6644998576219,1032.9003753064155,1033.6934591132388,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0120_iter0000_d000600.csv,0
30,20,1018.7073829183986,1027.3781667743724,1029.658844790163,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0230_iter0001_d001151.csv,1
159,20,1018.7661816777824,1024.410341704803,1029.7262485286753,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0159_iter0004_d000799.csv,4
136,20,1018.7841905620419,1027.541720845391,1031.3044145539516,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0336_iter0000_d002680.csv,0
79,20,1018.8145648512527,1033.7025346920416,1033.703993397159,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0279_iter0004_d003399.csv,4
87,20,1018.8187544618015,1028.4868807040657,1036.1753020498998,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0287_iter0001_d003436.csv,1
90,20,1018.8509098190873,1025.0540657144634,1027.349127828689,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0290_iter0004_d002454.csv,4
185,20,1018.8814520599823,1024.1566457094675,1024.977161206991,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0185_iter0002_d000927.csv,2
76,20,1018.9470809706106,1024.883285153609,1025.6416235518632,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0276_iter0000_d003380.csv,0
61,20,1018.948979244143,1023.2718743752985,1024.788125067829,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0261_iter0000_d001305.csv,0
151,20,1018.9993930423373,1025.9672777628557,1029.7322525063585,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0351_iter0004_d002759.csv,4
47,20,1019.0175587268266,1026.0164450181192,1031.3086735292882,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0247_iter0003_d003238.csv,3
33,20,1019.0230784892422,1025.7430170941968,1041.7018991257921,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0233_iter0004_d002169.csv,4
177,20,1019.0319281531258,1026.7337213166188,1032.1625857314373,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0377_iter0002_d002887.csv,2
38,20,1019.0376792246994,1026.8775326319103,1032.196714687267,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0238_iter0001_d001191.csv,1
43,20,1019.0689340549228,1026.7406934258508,1031.3015476854912,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0043_iter0002_d000217.csv,2
184,20,1019.2167174320632,1027.5243105913703,1030.5493302823488,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0184_iter0003_d000923.csv,3
17,20,1019.224771033648,1027.3344185193457,1028.0590459863477,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0017_iter0000_d000085.csv,0
191,20,1019.2452492653129,1026.6527847293828,1028.184586016583,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0191_iter0000_d000955.csv,0
64,20,1019.2576904777819,1027.4899597025124,1030.3663987518676,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0264_iter0003_d001323.csv,3
114,20,1019.263585258285,1027.3929486371237,1028.1467453745615,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0314_iter0001_d001571.csv,1
123,20,1019.2689728387406,1025.6846683101592,1026.4495990613982,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0123_iter0003_d000618.csv,3
44,20,1019.287467524425,1026.900396779432,1036.1509895522013,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0244_iter0000_d003220.csv,0
199,20,1019.2930143070978,1026.651556029339,1028.927962747654,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0199_iter0001_d000996.csv,1
158,20,1019.3319301110065,1029.7291424799344,1029.7298926569167,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0358_iter0000_d003790.csv,0
48,20,1019.4360427292288,1028.0336122164424,1028.1632455497117,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0248_iter0004_d002244.csv,4
56,20,1019.4472470040057,1026.5516698987187,1029.6248383172272,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0056_iter0003_d000283.csv,3
77,20,1019.5019103202385,1034.0304634734503,1039.3477434160898,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0277_iter0002_d002387.csv,2
81,20,1019.5379800753315,1024.4319082032994,1029.7492796772153,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0281_iter0004_d002409.csv,4
97,20,1019.5455018863452,1029.6717939833086,1031.346456452453,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0297_iter0000_d001485.csv,0
19,20,1019.5760100352485,1026.432671432961,1026.5597779689663,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0219_iter0000_d001095.csv,0
34,20,1019.5850927135447,1035.6597915568457,1041.58643869468,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0234_iter0004_d001174.csv,4
143,20,1019.5857678699907,1032.2994260669307,1035.3403778978538,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0143_iter0003_d000718.csv,3
132,20,1019.6007659936419,1029.617987007095,1029.7501754885132,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0332_iter0001_d001661.csv,1
165,20,1019.7656597832565,1031.0093337146236,1039.9552518739608,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0365_iter0000_d003825.csv,0
23,20,1019.8762393041854,1031.446226770885,1032.9967471807213,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0223_iter0002_d001117.csv,2
119,20,1019.939207089665,1027.3370544731852,1028.0973081099337,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0319_iter0002_d001597.csv,2
148,20,1019.976239575695,1030.7399719377531,1037.7399031909729,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0348_iter0002_d001742.csv,2
99,20,1020.0195866338885,1032.039893975357,1032.042242917183,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0099_iter0001_d000496.csv,1
78,20,1020.0765369594919,1030.5895664199682,1034.4026294685946,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0278_iter0000_d001390.csv,0
157,20,1020.1482866909994,1028.9835344553533,1030.55284836773,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0357_iter0003_d002788.csv,3
70,20,1020.1974379781174,1033.0102560500743,1036.0377247191682,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0270_iter0002_d001352.csv,2
59,20,1020.2088274824915,1034.0849883477204,1040.9235330903962,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0059_iter0004_d000299.csv,4
83,20,1020.4277369497952,1030.5542333829876,1030.564762832611,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0283_iter0001_d001416.csv,1
197,20,1021.1727985979227,1030.2829491201535,1041.6849771164088,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0397_iter0001_d001986.csv,1
163,20,1021.1872364836629,1032.219832359066,1033.5889398517857,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0363_iter0002_d001817.csv,2
52,20,1021.2661070489809,1037.3485008791397,1044.9509741466215,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0052_iter0001_d000261.csv,1
42,20,1021.6457236832537,1040.9445554492934,1042.4466837355387,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0242_iter0000_d001210.csv,0
98,20,1021.6507796133376,1026.6610967391555,1046.423087757656,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0298_iter0003_d001493.csv,3
69,20,1021.6574414082709,1035.3338717218162,1038.3757421075466,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0269_iter0003_d001348.csv,3
176,20,1021.8371479128143,1031.4768585677239,1036.0587340455982,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0176_iter0001_d000881.csv,1
39,20,1022.0066490954708,1036.5373953883536,1059.339938692001,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0239_iter0002_d003197.csv,2
186,20,1022.1545095129868,1045.28088208625,1051.359017252948,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0186_iter0001_d000931.csv,1
27,20,1022.2056772784465,1039.5669242324561,1043.369553140892,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0027_iter0004_d000139.csv,4
179,20,1023.1739480367036,1033.6208018488132,1034.5386657760528,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0379_iter0004_d001899.csv,4
54,20,1023.3758180838568,1041.500593885104,1052.1380397146816,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0254_iter0002_d001272.csv,2
125,20,1023.8262254147472,1035.3883923155993,1051.3462362035707,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0125_iter0003_d000628.csv,3
174,20,1024.7160419778872,1047.2864883120328,1048.9506928774126,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0374_iter0002_d001872.csv,2
